発話者2,応答者2,対話行為,対話行為2,感情
彼も京都が好き。京都でも、場所による。京都の中の。,うんうんうん。,共感,共感,信頼
医者行くと体重聞かれたりするよねー。測ったりもするけど。覚えてない。,ねえ。覚えてない。,共感,共感,悲しみ
私が、職場に対して、もうちょっとこうしてほしいって言っても、なかなか、ねえ、通じないときっていうのがあるから。,あります、あります。人によっても。,共感,共感,悲しみ
行ってみたい国はいっぱいありすぎてね。アフリカ行きたい。,ああ、いいねー。行ってみたーい。,共感,共感,期待
絶対これアルバイト料もらえない。,もらえないなー、これ。,共感,共感,悲しみ
５分も時間もさけねえのかよ。,そうだよね。,共感,共感,悲しみ
なんか、研究室行っても、つまんないんだよね、だれもいないと。,俺もそうだよ。,共感,共感,悲しみ
割のいいバイトしよっかなあとかってちょっと思ってー。塾の先生とかやったら、すごい時給とかすごいいいんだー。けどー、すごい準備がきつくって、時給割に合わないなあと思って。,ああ、そっかあ。へー。,共感,共感,悲しみ
うーん、もう飽きたんかもよ、この都知事の仕事に。,ねえ。大変っていうか、もういいやって思っちゃうかも。,共感,共感,悲しみ
自分で字にして書かないと、何考えてるのかわかんないときある。なんか、メモ、メモしないと。しかもパソコンに打つんじゃ、私の場合はだめらしくて。,あーあーあー。,共感,共感,嫌悪
結局うちらがさー、仲いいから、友達に対して、ああだこうだ、ぶうぶう言うのと同じってことだよね。,そうそうそうそう。そうなんだ。,共感,共感,嫌悪
ボキャ貧だもんなあ。,ほんとほだよね。,共感,共感,悲しみ
友達にジョークいったらさ反応なくってさあ。一番つらかったもん。ほんとに。,そらつらいね。,共感,共感,悲しみ
忙しいってさ、いいわけで使われるのが、、何か嫌だったっていうかー。,嫌うんうんうんうん。,共感,共感,悲しみ
自分ができるのは、教師だけだっていう、何か器量がせまい人が教師になっても結局一緒だと思ってさあ。,そのとおり。,共感,共感,嫌悪
ベトナム戦争の頃は簡単に国に帰れなかったよね。,そうよ、あなた。,共感,共感,悲しみ
みんな大きい車に乗りすぎなのよ、日本みたいな小さなとこで。,わたしもそう思う。,共感,共感,驚き
Aクラスはテストが１限にあるから、Ｂクラスでよかったものね。,うん、ねー。そうだねー。,共感,共感,喜び
親に、ソファーベッドがいいっつったら意味ないじゃんって。,そら意味ないわね。,共感,共感,怒り
自分さー車の免許取ってから、チャリとか乗ってもすごい気をつけるようになったもん。,あ、あーわかる。,共感,共感,驚き
シドニーとか、都会じゃなくて、田舎の方だと人不足だから日本語教育の教師募集してるみたいよ。,いいな、それもいい。,共感,共感,驚き
今家にプリンターないからさ全部レポートもさー、USBにいれて、学校で印刷来やってるじゃん。面倒くさくてしょうがない。,そりゃそうだねー。,共感,共感,悲しみ
資格とか取るとなるとさ、お金が自腹だと思うとさ、落ちたらもったいない。,そうそうそうそう。それなのよねー。,共感,共感,嫌悪
たまたま祖父が本が好きで、自分で家系図を作っちゃったってだけでー、別に。どっかに財宝が眠ってるとか何にもないですから。,すごい。,共感,共感,驚き
子供に英語で何ていうのって言ってもわかんないで終わっちゃう。何だろうねーって言って。,うーん、そうだろうねー。,共感,共感,嫌悪
高校生で、成績下がっただけで泣くかねー。やっぱり。,うーん。うん。あたし泣き虫だからねー、何となくそれはわかるしー。,共感,共感,悲しみ
あたしもこの授業の単位とれるか疑問だよ。でもこれ以上延ばしたくないから。,ほんとだね。,共感,共感,悲しみ
映画か、見にいきたいなー。,行きたいねー、陰陽師見たい。,共感,共感,期待
結構録音してても、しゃべれるね。何しゃべるかすごい困るかなとか思ったけど。,うん、思った思った。,共感,共感,信頼
わたしとさ彼が、いろいろ質問をしてたら、質問してるそばから、かぶせて返してくるの。,あーわかるわかる。,共感,共感,信頼
フランス行った子が帰ってきて集まってたんだけど、一人の子がフランスについて質問とか特にないんだけどとかって言って、場が冷めちゃってさ、そりゃないだろうって思って。,すごいわかる。,共感,共感,怒り
結婚式のスピーチ、あなたの友達が、やっぱりわたしじゃなくてよかったでしょって言ってたよ。,あー確かに。,共感,共感,驚き
旅行で、延々、おいしいものみつけてたな。,うん、わかる。,共感,共感,喜び
おもしろかったもんね。,おもしろかったよねー。,共感,共感,喜び
あれはおもしろかった。,うん。,共感,共感,喜び
あれは結構楽しかった。,うん。楽しかった。,共感,共感,喜び
一緒に行った、ペナン島楽しかったな。,楽しかった。すっごい楽しかった。,共感,共感,喜び
タイ旅行もあとから思えばさ、すごい移動とかも全部さ、船でやったしさー、楽しかったね。,うん。船、相当楽しかった。,共感,共感,喜び
あー、もういっぺんタイに行きたいなー。,もういっぺん行きたいね。,共感,共感,期待
フランスでいろんなところぐるぐるしたことおぼえてる。,覚えてる、覚えてる。,共感,共感,喜び
ほんと旅行、楽しかったねー。,うーん、楽しかったねー。,共感,共感,喜び
確かにハードロックカフェとか、いっぱい店ができちゃったら希少価値ないよね。,確かにないよね。,共感,共感,喜び
まあ、ごはんぐらいは食べるけど旅行はできない友達っているよね。,うん、わかる。わかる。,共感,共感,悲しみ
カレーに入れる具材が、豆とじゃがいもだけだったから。ほんでさ、ちょっと怒れてきてさ、に、肉だせ、肉とか言って。,うん、うん、うん。わかる。,共感,共感,怒り
あの友達と、最後の三原山の火山口を見にいこうって言ったときにー、なんかわたしとしてはけちけち旅行でも、やっぱりさ、せっかく三原山に来てるからー、楽しみたいじゃん。,わかる。言える。言える。言える。,共感,共感,喜び
３人で旅行行くくらいがいいよね。わたしと１人の友達がともめるときももう１人の友達がひょうひようとしとればー何とかなるよね。,そう思った、そう思った。,共感,共感,期待
私、旅先でほしいって思ったものはなるべく買うようにしてるんだ。,うん、うん。わかる、わかる。,共感,共感,期待
一緒に行った旅行はかなり楽しかった。,うん、楽しかったねー。,共感,共感,喜び
私ね、運転するようになって思ったけどね、運転中に、人に言われるとむちゃくちゃね、何かね、どうしていいかわかんなくなる。私特に初心者だからさ。,わかるわかる。,共感,共感,嫌悪
彼氏、私が運転したらしたで、何か気持ち悪くなってきたとか言ってさ。,むかつくー。,共感,共感,悲しみ
あそこから一番下混むのにね。,ほんとに一番ね、しんどいところ。,共感,共感,驚き
彼女、大垣市役所の短大枠５０倍で受かったっていうから。,すごい。,共感,共感,驚き
お父さん、今さ、英語やり始めて、聞く力はだいぶついたみたいなんだけど、しゃべる方は用意してる分じゃないと話せないみたい。,でもすごいね、英語しゃべれるんだ、お父さん、やっぱり。,共感,共感,悲しみ
私も牛肉食べてますよ。Ｐさんのお肉ならだいじょうぶだからって。,そうよ。,共感,共感,喜び
パリってお城より、教会の方がねいいよね。,うん、教会はいい。,共感,共感,信頼
ステンドガラス作るとなると、工房みたいなのが必要になってくるわよ。,必要よねー。,共感,共感,期待
違う国行って、その国の言葉を使うのがおもしろいわね。,おもしろいわねー。,共感,共感,喜び
知り合いの柴犬が元気だったころ、主人が出張で、１週間ぐらい留守したのかな。で帰ってきたて、鍵開けたら玄関でこうやって伏せてるの。,ああ、かわいい。,共感,共感,驚き
私が子どもだったとき考えても、おもちゃなんて、なかったじゃない。,そうよ、そうよ。,共感,共感,悲しみ
私が通ってた俳句の教室、いい先生だったんだけど。何ていうか、あまりにね、何か買わされるの、句集とか。嫌んなっちゃってね。,それは嫌んなっちゃうわね。,共感,共感,悲しみ
ちょっと私ね、人におごってもらって当然みたいな態度って、抵抗があるのよ。,あるわねえ。,共感,共感,嫌悪
いつか秋、京都行ったら、そこら辺中ねえ、モミジばっかりですもんね。これなら紅葉見事になるはずだって。,昔ですけど、紅葉のころ行ったらきれいだったー。,共感,共感,期待
携帯に来たメールを開けるとこっちに通信料が請求される。,うん。そんなばかな、ねえ。,共感,共感,怒り
肝心なところまで行き着かないんですよね。,あー。,共感,共感,悲しみ
学会の審査落とすのはもう簡単ですよね。,すごいなーと思って、わたしも。,共感,共感,悲しみ
韓国語はもう、全然あれですね、勉強する時間がないですよ。,そりゃそうでしょう。,共感,共感,悲しみ
自動的に、休暇取れるのっていいシステムですよね。そうじゃなきゃ、もうほんとに、すり減るばっかりですもんね。,ほんとそうですよ。,共感,共感,信頼
うちの学生なんか。ね、６時間ぐらい会話の文字起こしするともう大変なの、もう。,それー、大変だわねー。,共感,共感,悲しみ
全然私の研究を学生は手伝ってくれないから、そしたらわたしががんばるしかないと思って。,そうね、そうね。,共感,共感,悲しみ
ベトナム戦争の時日本はお金に徹してればよかった。あんな自衛隊なんか送るより。,ねー、中途半端よねー。,共感,共感,悲しみ
この和紙人形、これなんかかさばらないし、友達に送ってもいいよ。,ねえ、かわいいよね。,共感,共感,喜び
こんな和紙人形はいいよ。男と女の今度遊んでるのとか。,ねえ、かわいいよね。,共感,共感,喜び
こんなのもかわいいんじゃない。,あ、それもかわいいかも。,共感,共感,喜び
この和紙人形は、踊ってるところだから。これ、これはいいね、これは。,動きがあっていいよね、これね。,共感,共感,喜び
私人会でも私、足、一番速かったの。ジョギングしてたから。,すごい。,共感,共感,驚き
私、歩くのは速いでしょ。,えー。ジョギング。えー、えらーい。,共感,共感,信頼
坂のところをジョギングしてるから足が強くなっちゃうの。,なるほど、すごいね。,共感,共感,悲しみ
香袋帯に秘めけり夏のうち。この俳句が一番入賞で、あの、賞状もらって。よかったのよね。ただ思ったことそのまま五七五で書いていきさえすればいいのよね。,ほんとね、何か、とても素直な気がする。,共感,共感,喜び
着ぶくれし老婆の洗う葱白しって俳句もそのまんまの意味でしょう。,うーん、なんかよくわかる気がする。,共感,共感,喜び
私、テレビの俳句の番組、週２回は聞いてるし。,ちゃんと勉強してんだね。すばらしい。,共感,共感,信頼
なんかねー、うちずっと父親が単身赴任だったからさ、お母さんと２人だとさ、お互いすごい楽じゃん。,わかるわかるわかる。,共感,共感,喜び
この道怖い。,怖い。,共感,共感,恐れ
外資系の法律事務所で働くと給料凄いよ。,すごいよね。,共感,共感,驚き
外資系の法律事務所の給料凄すぎるよ、週給で３０万近いよね。,ああ、そうなんだー、なんかすごいね。,共感,共感,驚き
あそこの学校とかでも、昔はそんな全然、ふにゃーとした世界だったんだけど、すごい受験校になっちゃったから、とにかくすぐお金が稼げるからっていって、半分近くが医学部志望なんだって。意外でしょう。,意外。,共感,共感,驚き
若い時に戻っても、弁護士になるための勉強なんてできないよね。,無理だよねー。,共感,共感,悲しみ
なんかすき焼きってごちそうだったよね。,そうそうそうそう。,共感,共感,驚き
一人暮らしだと全部、自分でやらなきゃいけない。,そうそうそうそうそうそうそうそう。,共感,共感,悲しみ
先生が生徒に対して僕を笑わせてくれっていうのが、一番きついよね。,そんな、笑い話なんて、一番難しいって。,共感,共感,怒り
結構さ、私なんか自分の子ども保育園行ってるから、保育園に行っている子どもと接する機会が多いけど、よその家にいる子どもを見ると、すごいわがままじゃない？,うん、絶対わがままだよ。,共感,共感,嫌悪
私、昔の友達のメールアドレスも知らないからさー。連絡取りようがなくて。あー、みんなに会いたいねー。,ねー。,共感,共感,悲しみ
昔はあんどんみたいないい明かりがあったんだもんね。,そうだよねー。,共感,共感,驚き
バリに行ったの、懐かしいねー。,うん、うん、なんかさ、不思議だったよねー。,共感,共感,喜び
バリ、よかったよね、景色もいいしさ。,そうだよねー。,共感,共感,喜び
今は、家が小田急沿いなんで一応小田急で来てるんですけど、ＪＲの方が近いかなーとは思うんですけど、ＪＲは何しろものっすごい混雑で。,そう、すごいですよね。,共感,共感,恐れ
あとやっぱり、銀座はー、やっぱり新宿とかー渋谷に比べて落ち着く場所だと思いません？,そうですよね、落ち着きますよねー。,共感,共感,期待
これサイズは、フリーサイズなの。,フリーサイズ。,共感,共感,驚き
ケーキ作りってやり方次第では難しいでしょう。ちゃんと泡立ててー。,泡立てんのが難しいー。,共感,共感,悲しみ
クッキー作るときって、無塩バターじゃなくても平気だよねえ。,平気だよねえ。うん。,共感,共感,悲しみ
すごい人間の話聞いてるね、犬ってね。,すごいね。,共感,共感,驚き
クッキーとか作ると、目ざとくこのにおいは何って聞かれるじゃん。,目ざとく、なっちゃうよ。,共感,共感,驚き
友達に、作ったクッキーはどこにいったのとかって追及されそう。,そう。,共感,共感,怒り
シュークリーム作るときって、途中で、オーブンのふたを開けなければ意外と平気だよ。,もう何回も作ったて感じね、シュークリーム。,共感,共感,期待
シュークリーム作るのに何回挑戦しただろうね。,すごい作ったね。,共感,共感,期待
ラッピングはかごにかごにふたをつけたりとかこういうリボンをつけたりとかしてもいいね。,うん、かわいい。,共感,共感,喜び
ラッピングするなら、かごでもいいかもね。,うん。うん、かわいいかもね。,共感,共感,期待
うん、いいね、すごい。,うん、うん、うん。,共感,共感,喜び
Ａさん勉強、頑張ってるよねー。,うん。頑張ってますね。,共感,共感,喜び
大学生に戻りたいって思う。,大学は戻りたいね。,共感,共感,悲しみ
研究のテーマ、いろいろ広げてもまだ処理しきれないから、ある程度絞りながらやらないと、今やばいです。修論、どれしようってことになるし。,そう、もう、相当やばいんですよ。,共感,共感,悲しみ
親に研究は何をやってるのとか言われるんですけど。,そうなんです。,共感,共感,怒り
同じ研究テーマの人って、研究室にいないですよねー。,ねえ、何か。,共感,共感,驚き
研究するのは楽しいのは楽しいんですけどね。,そうです。はい。,共感,共感,喜び
今の研究室じゃ、論文とか書くにしても、ねえ、相談とかできる人がいないですよね。,いないですよねえ。,共感,共感,悲しみ
就職で、最初はまあ研究職、いいなあーと思ってたんですけどー、やっぱり、大学院に入ってから、ねえ、現実が見えてきたっていうか。,それはありますね。,共感,共感,悲しみ
何かねードクターに進学するにしても、さらに３年ていうのも長いしー。,そうなんですよね。,共感,共感,悲しみ
ドクターに進学するにしても、そのあと保証がないしー。,そう、３年行って必ず就職できるっていうんだったらいいんですけど、ないじゃないですか。,共感,共感,悲しみ
将来考えると、胃が痛くて。でもまあ、留学できるチャンスってのも少ないですからね。,チャンスですよね。,共感,共感,悲しみ
あたしも留学して帰ってきて、いくつやねん。２６、２６になんのかなーとか考えると。,結構、痛いですよねー。,共感,共感,驚き
何か将来を考え出すと本当にブルーになってしまう。,なりますね、将来のことを考えるとー。,共感,共感,悲しみ
将来について考えなきゃいけないことが多すぎてねーブルーになる。,そうなんですよね。,共感,共感,悲しみ
結婚とかって、出会いがあっても、私が転勤ばっかしてたら、実らないですよね。,あー、それ、ありますね。,共感,共感,悲しみ
自分の人生の下地ができませんっていう、危機感を感じ出してしまってね。だめじゃないかーって。,あー、そんなこと考えなかった。ああ、それありますよねー。,共感,共感,悲しみ
私のね、着物、お母さんのやつで、２５年前のやつ。でも、保存状態すごいよかったみたいで、うん。ちゃんと着れたんだー。,いいね、伝統的な。,共感,共感,喜び
すっごい紹介したい人がいるんだけど。,いいね。,共感,共感,期待
居づらい雰囲気のあるとこでは働きたくないな。すごい私、負けず嫌いだから、同期の男の人とかが、どんどんどんどんお給料上がってくの見てんのがすっごい嫌だから。,あっ、それやだー。,共感,共感,嫌悪
私の好きなタイプは竹中直人とか。,いいよねー。,共感,共感,信頼
あー、楽しみだね。私もワクワクしてきたわ。,うーん、楽しみ。,共感,共感,喜び
あなたに紹介したい人はもう幼なじみが、太鼓判押してるから。,そうだねえ。絶対いい人だね、それはね。,共感,共感,信頼
私の彼氏と、友達と、あなたの４人で会おう。,おもしろいね。,共感,共感,期待
楽しいね。楽しみだねー。,楽しみ。,共感,共感,喜び
私の友達がイギリスいってて、おもしろいって。かなりエンジョイしてるよ、あの人。,いいなー。,共感,共感,喜び
就職したくないなー。,わかる。,共感,共感,悲しみ
短大出た友達に給料仕事内容聞くとアルバイトと全然変わんないとか言われちゃう。つまんなくない？,つまんない。,共感,共感,怒り
経済省でもやっぱり、派閥があるのね。たかがバイトなのにバイトの子に嫌われたらすごい勢いでうわさが広まっちゃうしー、なんかすごいのね。あからさまに嫌ったりするときとか、いじめみたいな感じで。だから怖い。,嫌だねー。,共感,共感,恐れ
社員がバイトに対して挨拶とかも結構しなくちゃいけない。,怖ーい。,共感,共感,嫌悪
はあー。このゴマプリン、ゴマだ。,ねー？ゴマだねー。,共感,共感,喜び
このゴマプリン、ゴマゴマしてる。,うん、ゴマだわ。,共感,共感,喜び
地域限定のやつってさ、いつも買っちゃってさー、後悔することが多いんだよねー。,あっ、うーん、あるー。かなりあるねー。,共感,共感,悲しみ
絶叫系乗ると、いつ落ちるんだろうって落ちるんだろうって瞬間が一番怖い。,そう、わかるわかる。,共感,共感,恐れ
先生が嫌で、授業とらないってわかる気がするよね。,すごいわかるよねー。,共感,共感,嫌悪
見合いとか嫌だ嫌だよー。,お見合いしたくない嫌だよねー。,共感,共感,嫌悪
日本だったら、言わなくても通じるところが、海外では通じないから、細かく説明する必要がでたりしますよね。,求められる。,共感,共感,悲しみ
私の彼、プロテインおいしくないけど、体脂肪が燃焼されるからって言って飲んでるの。,そーら飲まなあかんな。,共感,共感,驚き
でも、新入社員はぎりぎりに集合するのはは無理だけど、たぶん。,あー、言っとった、言っとった。,共感,共感,悲しみ
食べないもん、夜ご飯。,そうそうそうそう、わかる。,共感,共感,喜び
私の息子高校で転校するの、いやがってた、引っ越すとき。,そら、いやがるわなあ。,共感,共感,悲しみ
このスタンプ私の手作りなんですよ。,すごいなあ。,共感,共感,喜び
普段人に対して、この人って言わないですよねえ。,いや、俺は言わないな。,共感,共感,怒り
おばあちゃんたち、でもいいですよね。楽しそうで。,そうそう。,共感,共感,喜び
そんな経験するなんて、漫画見てるみたい。,漫画見てるみたいだよ。,共感,共感,驚き
自分でリフォームできるっていいですね。自分の家ですね、ほんとに。,自分の家ねえ、確かに。愛着はあるよ。,共感,共感,喜び
冬はねえ水が冷たくてしんどい。,水冷たいよねえ。,共感,共感,悲しみ
２５年前ぐらいまでお風呂はまきで炊いてました。,すごいなあ。,共感,共感,驚き
落花生っておいしいですね。塩、ちょっとつけてって。,あれ、僕も好きだ。,共感,共感,喜び
この湯飲みかわいいね。,ほんとだね。,共感,共感,喜び
ハリーポッターって、おもしろいことはおもしろいけどー、そんな、そんなめちゃめちゃすごい人気になるほどー、ああいうタイプの話なら昔からあったじゃーん。,そうだよねー。うん、言えてる。,共感,共感,喜び
ハリーポッターより、なんか昔子どものころに読んだ本の方がさー、もっとなんか感動があるっていうか。,そうそうそうそう。,共感,共感,信頼
Ｇさんが残酷な映画は苦手なんだよね。,あ、やめてーっって思っちゃう感じ？わかる、わかる。そうだよねー。,共感,共感,悲しみ
オペラ座の怪人やった俳優さん、すごい背が高いからー、仮面をつけててもー、あの人だってわかったのね。,そうなんだよねー。やっぱ見た目とかあるよねー。,共感,共感,驚き
ねー、一年過ぎるのってほんとにはやいよね。,この前もう、ねえ、えーっと、今年もよろしくって挨拶していたかと思ったらもう。,共感,共感,驚き
あっという間、毎日がすぎてるよえｎ。,うーん、あんなにあさっての方向向いている。ほんとあっという間だよねー。,共感,共感,驚き
今ね時間すぎるの早すぎて、怖くなるよね。,ねー。,共感,共感,恐れ
ちょっとね。,ねー。,共感,共感,驚き
時進むの早すぎて、はや１週間たっちゃったーっと思って。,そうそうそうそう、何かこう、何かが近づいてきてそれをこうつかんだ瞬間にもう遠くに行っちゃってっていう感じだよね。,共感,共感,驚き
学校初日からさ、１限だからさ、５時半に起きてさ。,大変だね。それきつい。,共感,共感,悲しみ
これ、スリランカティーって書いてあったよね。ほんとだー。,ほんまや。おいしいじゃん。,共感,共感,驚き
上司に挨拶言ったら息子に２時間くらい説教してて、なんで俺は呼ばれたのかなあと思いながら。,ほんとー。つらっ。そりゃ、そんな教育熱心なのも困るねえ。,共感,共感,怒り
あの人、子供に対して熱心つーか、すごい厳しい。,狂ってるねえ、そんなん。,共感,共感,嫌悪
アメリカの大統領の犬に対するニュースなんていらんがな。,日本のニュースで、そんなんやるの？,共感,共感,驚き
あのラッパー、リズムにのってないのが、また新鮮だったりしてさ。,あー、全く無視がね。自由に生きてる感じ。,共感,共感,喜び
あんた人気講師じゃん。,人気講師なのよ。,共感,共感,驚き
あんたに関係ないいざこざやんね。,俺、関係ないやん、そんなんさ。,共感,共感,嫌悪
バイトしてると、勉強する間ないじゃんか、やっぱり。,うーん。なんやかんやさ、夜、ね、バイトがあるとかってなると、で、準備も必要となるとさー、なんか午前中つぶれていくよね。,共感,共感,悲しみ
バイト遅くまで入れると、午前中がつぶれる、うん。で、夜、帰ったらしんどくて、何も出来んやろ。,そう、そう、そう。で、次の朝も遅くなるし。えー、大変だわねー。,共感,共感,悲しみ
院生が２０人入学するなんてすごいでしょう。,多いよねえ。,共感,共感,驚き
オリックスの応援歌完璧に覚えてるなんて、物好きでらっしゃるわね。,物好きでしょう。,共感,共感,喜び
レーシックってやって、まだ時間がたってないじゃん。だから５年、１０年したらどうなるかわからないよ。,そうだよね。,共感,共感,悲しみ
別の人の話なんだけど、その人はちっちゃいときに、目の手術を受けたんだって。で、目にさ、麻酔打つんだけど、目ん中に打つから。,こわっ。,共感,共感,驚き
目に麻酔打つときってこうやって迫ってくるんだって、針が。,怖い。,共感,共感,驚き
目に針が、迫ってくるって、すごい恐怖だって。,怖いなあ。,共感,共感,恐れ
一人で３０日やったかな、３１日やったかに心霊系のテレビ見て、なんか一人でこわーなった。,怖いよねえ。,共感,共感,驚き
あら。,あらま。,共感,共感,悲しみ
あの二人、つきあってるみたいだよ。,あらま。,共感,共感,驚き
女の子が好きだよね、ほんと、Ａさんね。,好きだね。,共感,共感,喜び
あの人、女の子に対してまめだね。,ほんとにまめ。,共感,共感,嫌悪
なんか、彼にとっていいことがないと全然集まりとかにこないよね。,うん。出てこないよね。,共感,共感,悲しみ
こっちとしてもね。その方が楽しく過ごせるからね。,そうそうそうそうそうそうそう、そうだよね。,共感,共感,喜び
Aのタイプの女の子連れていくと、もうね、てきめん違うもん。ノリが。,いやらしいなあ。,共感,共感,信頼
あの人、タイプがものすごいはっきりしてるから。,やらしいねえ。ほんと好きなんだよね。,共感,共感,驚き
あなたの彼、苗字が無難でいいよね。,無難でしょう。,共感,共感,信頼
日本語の先生って、専門学校は時給４０００円なのね。で、日本語を教える方は５０００円。５０００円以上かな。そう、時給はすごくいいんだけど、でも結局はさ、授業の準備がすっごい時間かかるから、割ったら普通のバイトみたいなもんだよ。結局は一緒。,先生ってそうだよねー。,共感,共感,悲しみ
今日はね授業が、午前中２時間、午後から２時間なんだけどー、午前中はいいの、まだみんな緊張してるから、午後になるとだれちゃうのよね。,みんなも疲れるよね。,共感,共感,悲しみ
えー、あそこの空港、近くて気に入ってたのに止まらないんだ。,私も近くていいなと思ってたのに。,共感,共感,喜び
郡上もなんか、バスで通っていったけど、すごく、いいところよね。,うん、相当いいところ。,共感,共感,喜び
だって今、日本語教えてて、ね、日本に住んでて、英語喋れないことに対して、危機感ないもん。,うん、それはない。,共感,共感,嫌悪
ほんとねー。,ほんとね。,共感,共感,嫌悪
もっとちゃんといろんなことしたいのに、それができない自分が嫌なの。,うん。なんかそれはすごくわかる。,共感,共感,悲しみ
やっぱ人間って、なんか、範囲があって、やっぱなんでもかんでも頑張ったからって、全部が上手くいくことないよね。,できるってもんじゃないよね。,共感,共感,悲しみ
私は２つやることがあったとして１つを頑張ると、逆に、もうひとつの方は、うすこーんって抜けてちゃったりとか。なんか、どっかでこう、ね。,あると思う、それは。,共感,共感,悲しみ
できることは限りがあるから、限界超えても、もし大丈夫って思ってたら、きっとその人、知らないうちに無理してて。,うん。どっかおかしくなっちゃう。,共感,共感,悲しみ
考えるとさー、疲れない？,疲れるよね。,共感,共感,悲しみ
何も運動してないのに、なんか脳を使ったら疲れるよね。,疲れるよー。,共感,共感,悲しみ
このお寺すごいとか思って。初めて行ったときに、もう絶対、このお寺見ていかなきゃとか思って。,おもしろいよね、でも、ほんとに。,共感,共感,驚き
台湾もねー、遊びに行きたいけど。,ねー、行きたいけどねー。,共感,共感,期待
旅行の予定たてたいのに、いつも言ってるメンバーの１人が連絡取れなくて。もうすごいうっとうしいんだけど。実際。,大変だね。,共感,共感,悲しみ
大学で配られた、資料こそ捨てにくくて役に立たん。なあ、一応俺もあるんだけど。見る機会もないし、かといって捨てるに忍びない。,うん、そうなんだよね。ほんとにさーあ。,共感,共感,悲しみ
あの車に書いてある絵は無理だね。だれがかいたっていう。企画した人が知りたい。,知りたいよねえ。,共感,共感,驚き
ニュージーランドはごみの分別で乾電池でも分けてない、分けてない。びっくりした。,すごいびっくりしたでしょ、だってさ。,共感,共感,驚き
今の時期やったら、今日中に仕事が片づかないと思う。仕事量が半端じゃない。だって、全員フル出動で１１時とかだもんね、仕事が終わるの。,すごいね。,共感,共感,悲しみ
寿がきやラーメンを最初に作った人。大っ嫌いだったんだけど、ラジオ聞いてると、あの人いい人だな。,あの人いい人だよー。,共感,共感,喜び
家に植えてある花好きよ、あたし。ほんとに。,うん、りっぱやね、うちの。,共感,共感,喜び
でもその１６になったら車に乗って動けるようになるんやから、ある程度は。うん。１人で何でもできる、動ける。でもそこまではもう完全にあれやわ。もう、移動の自由がないねんから、ひどい話。,うん。,共感,共感,悲しみ
あの論文、絶対内容読まんかったらわからへんやん。,うん、うん。言葉だけって無理なんだよね。,共感,共感,悲しみ
いやーん、明日も研究室に缶詰め状態なのに。,つら。,共感,共感,悲しみ
すっごい嫌なんやけど。,絶対嫌。,共感,共感,悲しみ
ありがとうって言うと、ちょっとかわいいやん、自分ってなる。,いい感じだよね。和むやん。,共感,共感,喜び
５人分料理の材料を買うのは楽。でも量は多いよね。洗い物とかっていうのはすごい。,きついよー。,共感,共感,喜び
私、映画はなんでも見たいけどー、でもーさー、やっぱ３本見るとしんどいぞ。,確かにね。,共感,共感,期待
そうでしょ、横暴でしょ。おう、横暴でしょ。,うん。,共感,共感,嫌悪
教授は全然ね、日本、韓国の飛行機がテロの標的になるっていうことは全く考えてないね。,そうですね。僕も、でも僕もそーんな感じに思いましたけどね。,共感,共感,驚き
テロが日本の飛行機で起こるなんてないよね。そんなんね。,ありえないですよね。,共感,共感,驚き
あたしさー、元彼に未練があるとかそういうことは全然ないけど、それでもさ、元カレのことって聞きたい話じゃなくない？,うん。全然。,共感,共感,嫌悪
なんか、私の親友、元カレの話わざとしてきたり、変わってる。,うん。変わってるね。え、ベストフレンドにそんな、嫌な話言うかー？,共感,共感,驚き
友達の彼氏を友達がハイキングに誘いたいって言ったから、誘ったの。でも当の本人は二日酔いで乗り気じゃなくて、途中でさ、下山するはめになって、何か、何で連れてきたんだろうって思ったり。,うーん、うん、うん。そうだね。,共感,共感,驚き
友達に、コンドミニアムを何か借りたから、一緒に行こうって言われたの。だから、いいよって言って、２人で行くんだと思って行ったらさ、見知らぬカナダ人とさ、もう１人韓国人がおって。でさ、びっくりじゃない。知らない人がいたら。,うん。そうだねー。,共感,共感,驚き
その人、私の知らない人をいっつも旅行とかに呼ぶんだよね。私もさ、嫌って言えないからさ。,言えないよねー。うん。,共感,共感,嫌悪
僕も３０歳のわりに、やっぱ甘えてんのかなー。,いや、甘えてんでしょう。それはそうですよ。,共感,共感,悲しみ
例えばさ、今あなたが彼氏と別れて、で、そのあとにあたしがさ、あなたの元カレに対して悪口を言うのって良い気分しないでしょ？,うん。,共感,共感,嫌悪
わー。すごいねえ。,でしょ。でしょ。,共感,共感,驚き
ゴールデンウイークとか冬休みに授業あったら、生徒から文句きますよね。,そうでしょ、だって。,共感,共感,怒り
その上の人の独断と偏見で採用されるのっておかしいよね。,おかしいでしょう、ほんとに。,共感,共感,怒り
私は日本の文化には合わないと思う。,そうですよね。,共感,共感,悲しみ
うちの母見てるとよがって絶対いいと思う。うん。,でしょ。,共感,共感,信頼
実家に帰っちゃうとさー、お正月とかなんもできんよね。,うん、できんしー。,共感,共感,悲しみ
院に行ってどうするってのもない？,うん。,共感,共感,嫌悪
院に行ってどうするっていうか、行ってそのあとのことをーどう考えてるかっていうんだよね。なんかどうなんだろう。,ねえ、難しいよねー。,共感,共感,恐れ
